NAME,SPP,TRIAL,INC,TIME,CONDITION
Cypress,lat,1,8,607,w/food
Cypress,lat,2,5,411.3,w/food
Cypress,lat,3,NA,NA,w/food
Amara,lat,1,23,539.2,w/food
Amara,lat,2,15,303.5,w/food
Amara,lat,3,8,484.6,w/food
Piper,lat,1,4,941.9,w/food
Piper,lat,2,5,396.5,w/food
Piper,lat,3,8,448.6,w/food
Sadie,lat,1,16,889,w/food
Sadie,lat,2,3,279.4,w/food
Sadie,lat,3,14,328.6,w/food
Tory,form,1,NA,NA,w/food
Tory,form,2,18,469.9,w/food
Tory,form,3,9,338.2,w/food
Aria,form,1,26,1041.9,w/food
Aria,form,2,2,217.1,w/food
Aria,form,3,7,452.1,w/food
Sofia,form,1,5,261.6,w/food
Sofia,form,2,NA,NA,w/food
Sofia,form,3,14,609.4,w/food
Amy,form,1,9,826.4,w/food
Amy,form,2,2,245.6,w/food
Amy,form,3,14,462,w/food
Meagan,form,1,9,200.5,w/food
Meagan,form,2,6,375.8,w/food
Meagan,form,3,9,559.8,w/food
Olivia,form,1,NA,NA,w/food
Olivia,form,2,5,239.6,w/food
Olivia,form,3,6,463.9,w/food
Luna,form,1,20,652.3,w/food
Luna,form,2,4,228,w/food
Luna,form,3,6,312.9,w/food
